#OTU ID,SRR6914763_SCHMIDT_2018,SRR6914768_SCHMIDT_2018
K00001,3.0,2.5
K00002,0.5,13.0
K00003,2626.16,2744.5
K00004,1.0,0.0
K00005,1.0,1.1
K00006,0.0,0.0
K00007,0.0,0.0
K00008,40.0,34.0
K00009,4.0,2.1
K00010,1.0,0.0
K00011,0.0,0.0
K00012,2544.16,2348.83
K00013,2597.66,2394.1
K00014,279.66,699.0999999999999
K00015,12.0,14.0
K00016,136.5,613.0
K00018,32.0,15.0
K00019,4.0,1.0
K00020,114.0,352.17
K00021,2426.66,2074.33
K00023,3.0,1.0
K00024,4876.16,4108.93
K00027,197.66,664.27
K00029,45.5,12.6
K00030,12.0,32.0
K00031,166.66,79.6
K00032,0.0,0.0
K00033,51.5,16.6
K00034,0.0,0.0
K00035,0.0,0.0
K00036,52.5,15.6
K00038,0.0,0.0
K00039,0.0,0.0
K00040,2.5,4.6
K00041,0.0,2.6
K00042,6.0,1.2
K00043,0.0,0.0
K00045,0.0,0.0
K00046,43.5,16.0
K00048,3.0,0.1
K00050,18.5,7.0
K00051,0.0,0.0
K00052,2597.66,2409.1
K00053,2596.66,2392.1
K00054,19.0,17.0
K00055,0.0,0.0
K00057,225.0,648.77
K00058,2622.66,2416.6
K00059,2957.99,3410.61
K00060,17.5,5.6
K00064,0.0,0.0
K00065,3.0,2.1
K00066,0.0,0.0
K00067,217.83,649.5
K00068,1.0,0.1
K00073,0.0,0.1
K00074,184.0,333.11
K00075,227.33,670.27
K00076,0.0,0.1
K00077,2470.0,2080.94
K00078,0.0,0.0
K00082,0.0,0.0
K00086,0.0,1.5
K00087,1.0,4.1
K00088,4998.0,4741.27
K00090,3.0,1.1
K00091,0.0,2.5
K00094,0.0,0.2
K00096,2439.66,2089.83
K00097,70.0,25.1
K00098,0.0,0.0
K00099,225.0,652.27
K00100,165.5,629.0
K00101,3.0,1.1
K00102,3.0,1.0
K00103,0.0,0.0
K00104,142.66,106.44
K00105,3.0,0.0
K00106,0.0,0.0
K00108,3.0,1.1
K00109,0.0,0.0
K00111,131.5,614.7
K00112,0.0,0.1
K00113,0.0,0.1
K00114,0.0,0.0
K00116,0.0,0.1
K00117,0.0,1.1
K00118,0.0,0.0
K00121,5.0,1.1
K00122,0.0,0.0
K00123,2565.5,2349.07
K00124,40.0,15.77
K00125,2387.0,2047.0
K00126,0.0,0.0
K00127,64.5,27.270000000000003
K00128,187.16,399.5
K00129,0.0,0.0
K00130,1.0,0.1
K00131,9.0,3.0
K00132,0.0,0.0
K00133,2663.66,2739.6
K00134,228.5,658.5400000000001
K00135,2472.32,2074.26
K00137,0.0,0.1
K00138,3.0,1.1
K00140,7.0,2.0
K00141,1.0,0.0
K00145,2578.66,2381.2
K00146,0.0,0.1
K00147,183.66,343.1
K00148,0.0,0.0
K00150,2437.66,2087.33
K00151,0.0,0.1
K00152,0.0,0.0
K00153,0.0,0.0
K00154,3.0,1.0
K00156,0.0,0.1
K00158,1.0,13.0
K00161,75.0,31.0
K00162,69.0,28.0
K00163,5.0,2.1
K00164,21.5,7.6
K00166,4.0,1.0
K00167,4.0,1.0
K00169,4859.16,4126.0
K00170,4886.99,4152.0
K00171,4885.66,4136.0
K00172,4884.66,4135.0
K00174,5068.66,4461.5
K00175,5067.66,4459.5
K00176,2546.5,2362.67
K00177,2547.0,2366.67
K00179,2611.98,2406.66
K00180,2570.32,2381.16
K00183,0.0,0.0
K00184,8.0,7.01
K00185,8.0,7.01
K00186,68.16,47.33
K00187,41.66,37.33
K00188,40.66,37.33
K00189,0.0,0.0
K00192,129.65,81.99000000000001
K00193,51.33,33.33
K00194,93.82,73.83000000000001
K00195,91.32,73.66
K00196,49.16,41.5
K00197,94.32,75.33000000000001
K00198,2427.99,2067.84
K00200,4860.65,4132.66
K00201,4903.139999999999,4171.99
K00202,4854.15,4132.66
K00203,4901.31,4155.99
K00204,1.0,13.0
K00205,2467.65,2111.66
K00207,0.0,0.0
K00208,54.5,15.6
K00209,1.0,0.0
K00210,9.5,2.0
K00211,0.0,0.0
K00213,0.0,0.0
K00214,0.0,0.0
K00215,2662.16,2978.1
K00216,0.0,0.1
K00217,0.0,0.0
K00218,0.0,0.0
K00219,2.0,0.27
K00220,0.0,0.0
K00221,0.0,0.0
K00222,0.0,0.0
K00226,59.0,15.0
K00227,0.0,0.0
K00228,3.0,2.7
K00230,9.5,6.6
K00231,4.0,4.0
K00232,0.0,0.0
K00239,92.5,33.27
K00240,124.33,33.6
K00241,75.0,21.270000000000003
K00242,3.0,1.6
K00243,112.5,350.17
K00244,5.5,0.1
K00245,0.0,0.1
K00246,0.0,0.1
K00247,0.0,0.1
K00248,96.0,294.17
K00249,14.0,4.0
K00252,3.0,2.0
K00253,3.0,1.0
K00254,24.0,4.6
K00255,0.0,0.0
K00256,0.0,0.0
K00257,121.5,42.17
K00259,134.5,359.17
K00260,4.0,2.5
K00261,64.99,64.33
K00262,210.5,643.27
K00263,3.0,1.0
K00264,0.0,0.0
K00265,32.5,7.1
K00266,2671.66,2711.94
K00270,0.0,0.0
K00271,0.0,0.0
K00273,0.0,0.0
K00274,0.0,0.0
K00275,27.5,9.6
K00276,0.0,0.1
K00278,149.0,305.77000000000004
K00279,0.0,0.0
K00280,0.0,0.0
K00281,41.5,10.6
K00282,77.0,281.17
K00283,77.0,281.17
K00284,13.0,8.17
K00285,10.0,4.1
K00286,267.66,700.0999999999999
K00287,136.5,370.1
K00288,0.0,0.0
K00290,40.5,19.17
K00293,2.0,3.0
K00294,20.5,28.5
K00297,136.0,302.27000000000004
K00298,0.0,0.0
K00299,3.0,1.1
K00301,0.0,0.0
K00302,1.0,1.0
K00303,3.0,5.5
K00304,0.0,0.0
K00305,0.0,0.0
K00306,0.0,0.0
K00311,3.0,1.0
K00313,29.5,13.64
K00314,0.0,0.0
K00315,0.0,0.0
K00316,0.0,0.0
K00317,0.0,0.0
K00318,19.5,6.0
K00319,2425.66,2058.33
K00320,2436.66,2070.33
K00322,0.0,0.1
K00324,4.0,1.1
K00325,3.0,1.1
K00326,0.0,0.0
K00329,0.0,0.0
K00330,101.16,65.60000000000001
K00331,102.16,65.60000000000001
K00332,101.16,75.5
K00333,103.16,79.0
K00334,296.5,921.77
K00335,166.5,324.77000000000004
K00336,166.0,321.27000000000004
K00337,114.66,81.10000000000001
K00338,102.16,65.60000000000001
K00339,140.49,73.93
K00340,109.83,63.1
K00341,111.16,78.60000000000001
K00342,113.16,81.60000000000001
K00343,101.16,65.60000000000001
K00344,6.0,3.1
K00346,39.5,9.5
K00347,39.5,9.5
K00348,39.5,9.5
K00349,39.5,9.5
K00350,39.5,9.5
K00351,39.5,9.5
K00354,2.0,1.5
K00355,39.66,24.33
K00356,1.0,0.0
K00360,0.0,0.0
K00362,3.0,1.1
K00363,3.0,3.1
K00364,6.0,1.1
K00365,0.0,0.0
K00366,2.0,1.0
K00367,0.0,0.0
K00368,1.0,0.0
K00370,2.0,1.2
K00371,2.0,1.2
K00372,1.0,1.0
K00373,2.0,1.2
K00374,2.0,1.2
K00375,34.5,17.67
K00376,2.0,1.0
K00380,10.0,2.1
K00381,10.0,2.1
K00382,2676.16,2722.1
K00383,40.33,8.43
K00384,527.16,1703.94
K00385,0.0,0.0
K00387,0.0,0.0
K00389,0.0,1.6
K00390,2485.32,2110.76
K00392,0.0,1.0
K00394,2.5,0.0
K00395,2.5,0.0
K00399,2428.16,2074.33
K00400,2469.32,2111.66
K00401,2428.16,2074.33
K00402,2428.16,2074.33
K00404,5.0,2.0
K00405,5.0,2.0
K00406,3.0,3.5
K00407,3.0,1.0
K00410,0.0,0.0
K00411,3.0,1.0
K00412,3.0,1.0
K00413,3.0,1.0
K00423,0.0,0.0
K00425,75.33,34.370000000000005
K00426,75.33,34.370000000000005
K00427,0.0,0.1
K00428,8.0,3.7
K00430,0.0,0.0
K00432,124.0,366.1
K00433,1.0,3.5
K00435,0.0,0.0
K00436,5.0,0.0
K00437,0.0,0.0
K00440,2387.66,2066.0
K00441,4942.639999999999,4190.32
K00442,2386.33,2050.0
K00443,2387.66,2066.0
K00446,2.0,1.0
K00448,0.0,0.0
K00449,0.0,1.0
K00450,1.0,0.0
K00451,0.0,2.0
K00452,0.0,0.0
K00453,1.0,0.0
K00455,0.0,0.1
K00456,0.0,0.0
K00457,4.0,3.0
K00459,22.0,3.0
K00461,0.0,0.0
K00462,0.0,0.0
K00463,0.0,0.0
K00464,0.0,0.0
K00466,0.0,0.0
K00467,0.0,0.0
K00469,0.0,0.0
K00471,0.0,0.0
K00472,1.0,0.0
K00474,0.0,0.0
K00476,0.0,0.0
K00477,0.0,0.0
K00479,0.0,0.0
K00480,2.0,1.0
K00481,1.0,0.0
K00483,0.0,0.1
K00484,0.0,0.1
K00485,0.0,0.0
K00486,0.0,0.0
K00491,0.0,0.0
K00493,0.0,0.0
K00496,0.0,0.0
K00499,2.0,1.0
K00500,3.0,2.0
K00501,0.0,0.0
K00504,0.0,0.0
K00505,0.0,0.0
K00507,1.0,2.0
K00508,0.0,0.0
K00510,0.0,0.0
K00511,0.0,0.0
K00514,0.0,0.0
K00517,1.0,0.0
K00518,0.0,0.0
K00520,0.0,0.1
K00523,3.0,1.0
