#OTU ID,SRR2225468_CERILLO_2016,SRR2154305_CERILLO_2016,SRR2053264_CERILLO_2016,SRR3211889_CERILLO_2016,SRR2053255_CERILLO_2016,SRR2053265_CERILLO_2016,SRR2053262_CERILLO_2016,SRR3189287_CERILLO_2016,SRR1802176_CERILLO_2016,SRR2053258_CERILLO_2016,SRR3342207_CERILLO_2016,SRR2053259_CERILLO_2016,SRR3342204_CERILLO_2016,SRR3342206_CERILLO_2016,SRR3211888_CERILLO_2016,SRR2053260_CERILLO_2016,SRR3211891_CERILLO_2016,SRR2154307_CERILLO_2016,SRR2154303_CERILLO_2016,SRR1802174_CERILLO_2016,SRR3211890_CERILLO_2016,SRR2053267_CERILLO_2016,SRR2053257_CERILLO_2016,SRR3342205_CERILLO_2016,SRR1802177_CERILLO_2016,SRR2225470_CERILLO_2016,SRR2053256_CERILLO_2016,SRR3189289_CERILLO_2016
K00001,238.0,33.0,24.0,220.0,720.0,161.0,0.0,277.0,738.5,321.34000000000003,766.0,1271.34,163.0,172.0,19.0,322.34000000000003,291.0,18.0,82.0,959.56,0.0,4.0,169.67000000000002,1689.5,81.38,161.0,2573.0,91.0
K00002,2.5,0.0,0.0,6.0,0.0,0.0,0.0,5.0,6.0,76.0,25.0,29.0,5.0,1.5,4.0,128.0,0.0,0.0,0.0,19.0,1.0,0.0,17.0,0.0,106.71,2.5,0.0,38.5
K00003,2727.5,2402.5,2394.33,1836.01,2462.5,2303.5,929.34,2680.17,974.5,1148.41,1627.65,1714.0,2118.16,2354.0,1849.67,1202.0700000000002,1887.95,1606.17,2495.83,1976.33,1695.67,1991.67,1309.68,1856.53,1899.55,1767.84,2141.25,2693.0
K00004,0.0,0.0,0.0,56.91,11.0,0.0,0.0,0.0,714.0,17.67,94.5,10.0,0.0,0.0,0.0,66.0,40.45,0.0,0.0,232.37,0.0,0.0,142.43,3.77,0.0,0.0,111.75,0.0
K00005,0.0,0.0,0.0,803.66,0.0,0.0,0.0,0.0,137.5,2.5,386.0,8.4,0.0,0.0,0.0,0.0,695.45,0.0,1.0,19.7,0.0,0.0,146.43,119.27,0.0,2.0,0.0,0.0
K00006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K00007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,259.0,0.0
K00008,385.5,900.5,97.0,195.59,12.0,228.5,0.0,451.5,2034.0,113.67,533.0,81.33,798.0,542.0,866.0,912.5,340.45,265.5,352.5,125.81,1037.0,4.0,130.93,648.77,823.9300000000001,1102.5,68.0,87.5
K00009,0.0,0.0,0.0,368.41,0.0,0.0,0.0,0.0,135.0,16.0,162.0,6.4,0.0,0.0,0.0,277.0,316.45,0.0,1.0,32.59,0.0,0.0,115.0,167.26999999999998,0.0,2.0,0.0,0.0
K00010,0.0,0.0,0.0,0.0,128.0,0.0,0.0,0.0,721.0,12.0,121.0,16.0,0.0,0.0,0.0,60.5,0.0,0.0,1.0,470.33,0.0,0.0,71.43,2.5,0.0,2.0,562.5,0.0
K00011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K00012,2259.0,969.5,1862.33,1892.91,2320.5,1474.5,929.34,2249.17,1617.0,1222.85,2136.25,1811.01,1798.66,1721.0,1661.17,2659.17,2066.45,1179.17,846.8299999999999,2332.44,1593.17,1991.67,1859.92,2195.53,1696.84,1652.34,2127.25,2596.0
K00013,1075.0,1780.5,797.3299999999999,1646.26,2326.5,1418.5,898.3399999999999,1237.17,1772.5,1326.75,1938.15,1831.4,1686.66,1712.0,1382.17,2365.07,1755.95,1343.17,2038.83,2087.08,1429.17,378.67,1650.85,2267.03,1188.5500000000002,1426.34,2070.5,636.0000000000001
K00014,653.0000000000001,712.5,287.33,2086.92,2786.5,494.5,898.3399999999999,846.1700000000001,2109.0,1733.75,2267.15,2135.4,1262.16,973.0,1136.17,2430.07,2199.9,892.17,463.83,2834.07,1184.17,378.67,2237.28,2240.8,1117.5500000000002,1221.34,3735.0,550.5
K00015,87.0,386.5,21.0,236.0,117.0,0.0,0.0,61.0,11.0,9.0,267.5,13.0,76.5,115.0,8.0,53.0,219.0,9.0,83.0,277.83,9.0,0.0,26.0,378.0,19.0,73.0,368.5,13.5
K00016,25.0,2.0,6.0,1328.58,357.0,0.0,18.0,34.0,1094.5,490.9,1217.9,408.33,58.0,75.5,6.0,115.4,1077.85,9.0,3.0,190.1,0.0,0.0,1327.86,989.81,38.42,64.5,55.0,52.0
K00018,5.0,18.0,0.0,660.5699999999999,1746.5,0.0,0.0,0.0,1114.5,505.34,687.25,1448.67,5.5,5.0,0.0,561.0,611.9,0.0,3.0,1220.76,0.0,0.0,558.6800000000001,735.3,19.21,2.0,821.75,0.0
K00019,0.0,1.5,0.0,11.5,707.0,0.0,0.0,0.0,35.0,170.34,47.5,27.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,932.99,0.0,0.0,12.0,149.5,2.0,0.0,1520.75,1.0
K00020,53.0,26.0,22.0,784.16,3004.5,49.0,0.0,105.0,964.5,1116.34,791.75,2768.17,246.5,200.0,41.0,500.5,836.45,9.0,5.0,2261.14,5.0,0.0,963.18,1347.52,39.0,80.0,3782.25,101.5
K00021,435.5,1067.0,507.33,0.0,0.0,936.0,880.3399999999999,458.67,0.0,0.0,0.0,0.0,445.16,755.5,311.17,0.0,0.0,449.67,1577.33,0.0,360.17,356.67,2.5,0.0,308.67,163.84,0.0,157.0
K00023,0.0,0.0,0.0,1.0,591.0,0.0,0.0,0.0,40.0,68.67,0.5,9.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,571.25,0.0,0.0,10.0,83.0,0.0,0.0,665.75,0.0
K00024,710.5000000000001,586.0,1120.33,1012.85,2176.5,576.0,880.3399999999999,689.6700000000001,610.0,759.8500000000001,1471.65,477.4,1051.66,1632.0,726.1700000000001,2039.07,1162.0,700.6700000000001,320.33,1733.16,584.17,374.67,1084.92,1636.26,273.34000000000003,504.84,1275.5,501.5
K00027,1999.5,1818.5,1709.33,1016.33,483.0,1762.5,929.34,1884.17,1103.0,454.9,1153.15,409.73,1359.66,1223.0,1340.67,506.07,1082.85,954.17,2138.83,550.77,1348.67,1969.67,1287.61,934.56,1605.88,1367.84,108.0,2201.5
K00029,16.0,33.0,3.0,728.25,2889.5,8.0,0.0,47.0,1178.0,974.68,921.25,1630.57,106.0,84.0,27.0,2181.17,812.0,396.0,5.0,2070.6,5.0,0.0,942.92,1184.75,12.67,12.0,2707.0,14.0
K00030,385.5,1564.5,130.0,215.75,0.0,848.5,0.0,471.5,74.5,44.5,98.0,27.33,844.0,592.0,875.0,13.67,143.0,679.5,1761.5,53.66,1063.0,0.0,48.0,53.0,858.0,1076.5,18.0,105.5
K00031,565.0,224.5,229.33,1373.66,2402.5,427.0,880.3399999999999,690.6700000000001,1659.5,1213.02,2030.25,1659.07,607.66,629.4999999999999,247.67,2619.17,1587.45,644.6700000000001,280.33,2604.74,108.67,378.67,1272.85,2300.53,100.55,282.34000000000003,3490.5,474.0
K00032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,212.88,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0
K00033,439.0,192.0,192.0,516.0,738.5,384.0,0.0,530.0,1041.5,811.8400000000001,1296.0,596.4,283.5,346.0,78.0,901.84,570.0,9.0,251.0,1095.54,17.0,4.0,1005.67,1190.5,65.0,158.0,941.5,313.5
K00034,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,4.0,32.0,0.0,0.0,252.6,0.0,0.0,11.5,360.0,30.0,0.0,87.0,7.5
K00035,0.0,0.0,0.0,1.0,77.0,0.0,0.0,0.0,5.0,1.0,0.5,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,32.5,0.0,0.0,0.0,0.0,0.0,0.0,331.5,0.0
K00036,439.0,191.0,192.0,650.0,1953.5,384.0,0.0,530.0,1018.5,1004.84,1234.0,1733.07,283.5,346.0,78.0,986.84,620.0,9.0,251.0,2517.99,17.0,4.0,948.67,1488.5,65.0,158.0,2824.0,313.5
K00038,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0
K00039,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,276.0,0.0
K00040,0.0,0.0,0.0,127.32,0.0,0.0,0.0,0.0,760.0,28.0,121.5,31.9,5.5,5.0,0.0,27.0,93.9,0.0,0.0,61.68,0.0,0.0,227.5,37.04,11.21,1.5,67.5,0.0
K00041,0.0,8.0,0.0,128.91,47.0,0.0,0.0,0.0,737.0,18.34,265.0,60.4,0.0,0.0,0.0,98.0,48.45,0.0,3.0,48.59,0.0,0.0,252.17,16.77,0.0,0.0,212.0,0.0
K00042,0.0,0.0,0.0,557.16,596.0,0.0,0.0,0.0,144.5,115.18,146.25,6.8,0.0,0.0,0.0,85.5,480.45,0.0,0.0,580.3599999999999,0.0,0.0,141.18,267.03,0.0,0.0,1516.0,0.0
K00043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K00045,0.0,0.0,0.0,11.0,5.0,0.0,0.0,0.0,2.0,6.0,19.0,0.0,0.0,0.0,0.0,65.0,46.0,0.0,0.0,349.88,0.0,0.0,0.0,127.5,0.0,0.0,1086.0,0.0
K00046,245.67,173.0,189.33,416.41,856.0,182.0,880.3399999999999,250.67,860.5,242.17,803.0,326.17,155.32999999999998,221.33,88.0,920.5,347.45,25.67,202.0,320.75,51.67,356.67,535.0,1007.27,44.21,168.17000000000002,1055.5,153.5
K00048,0.0,0.0,0.0,115.91,0.0,0.0,0.0,0.0,19.0,4.0,151.0,10.4,0.0,0.0,0.0,0.0,40.45,0.0,0.0,8.09,0.0,0.0,135.0,62.27,0.0,0.0,0.0,0.0
K00050,1670.0,643.0,1603.0,378.0,837.0,885.0,31.0,1456.0,182.5,81.67,566.0,69.5,441.0,672.5,434.0,448.67,428.0,504.0,463.0,635.77,220.0,1613.0,123.0,726.0,621.0,397.0,1789.5,2051.5
K00051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
K00052,1077.5,1780.5,797.3299999999999,1262.26,2200.5,1406.5,898.3399999999999,1240.17,1713.0,1199.42,1830.65,1814.4,1720.16,1727.0,1421.67,2348.07,1255.95,1343.17,2038.83,2118.91,1475.67,378.67,1300.85,2147.03,1178.5500000000002,1433.84,2078.5,639.0000000000001
K00053,1075.0,1780.5,797.3299999999999,1466.26,2326.5,1418.5,898.3399999999999,1237.17,1771.5,1189.25,1942.65,1815.9,1681.16,1707.0,1382.17,2318.4,1663.95,1343.17,2038.83,2124.08,1429.17,378.67,1608.35,2189.03,1188.5500000000002,1424.84,2065.5,636.0000000000001
K00054,100.5,504.5,64.0,605.0,0.0,67.5,0.0,145.5,317.0,183.5,493.0,50.5,659.5,349.0,857.0,1041.67,697.0,256.5,192.5,261.0,1028.0,0.0,466.0,335.0,776.0,992.5,18.0,41.0
K00055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0
K00057,2152.0,858.0,1804.0,1637.51,2664.5,1300.0,49.0,2084.0,2101.0,1764.75,2224.15,2174.9,943.5,1204.5,642.0,2646.74,1818.95,891.0,729.0,2288.67,263.0,1635.0,2404.35,2225.03,712.88,538.5,2148.5,2496.0
