#OTU ID,SRR12327344_ALBARRACIN-ARIAS_2021,SRR12328004_ALBARRACIN-ARIAS_2021
K00001,810.1700000000001,299.38
K00002,20.33,0.0
K00003,1777.8,696.71
K00004,136.64,313.39
K00005,243.22,841.16
K00006,0.0,0.0
K00007,0.0,0.0
K00008,568.98,445.82
K00009,126.85,195.32
K00010,166.42000000000002,133.92
K00011,0.0,0.0
K00012,2386.38,858.4200000000001
K00013,2347.37,870.97
K00014,2604.42,1290.88
K00015,597.54,82.12
K00016,604.1,781.1800000000001
K00018,484.71,903.9199999999998
K00019,371.9,151.0
K00020,1132.88,699.53
K00021,5.0,0.0
K00023,508.27,113.66
K00024,1835.54,607.8
K00027,656.01,1142.03
K00029,1674.4,635.67
K00030,252.19,451.56
K00031,2371.5,1108.87
K00032,27.9,8.0
K00033,1351.23,583.63
K00034,22.54,64.0
K00035,93.0,78.0
K00036,1515.95,624.62
K00038,25.0,0.0
K00039,36.0,0.0
K00040,282.57,378.24
K00041,281.57,249.2
K00042,650.6,507.64
K00043,0.0,0.0
K00045,118.5,8.0
K00046,1174.69,550.84
K00048,131.35,121.49
K00050,727.1,60.99
K00051,0.0,0.0
K00052,2341.33,859.97
K00053,2335.33,1034.97
K00054,426.9,109.0
K00055,27.0,38.0
K00057,2279.57,987.0
K00058,3460.63,1475.13
K00059,7413.780000000001,3658.08
K00060,394.46,364.51
K00064,88.0,92.0
K00065,232.29,149.43
K00066,32.9,0.0
K00067,2235.76,1161.43
K00068,48.3,111.77
K00073,21.15,58.34
K00074,1766.67,523.97
K00075,2425.37,1069.22
K00076,103.23,0.5
K00077,1512.29,1083.64
K00078,0.0,0.0
K00082,0.0,0.0
K00086,16.14,7.34
K00087,96.84,18.62
K00088,2573.37,1077.34
K00090,217.09,154.87
K00091,287.65,0.0
K00094,31.4,39.0
K00096,87.34,121.78
K00097,1816.91,642.9699999999999
K00098,79.14999999999999,44.370000000000005
K00099,2233.37,969.22
K00100,1148.97,733.84
K00101,537.95,207.37
K00102,386.7,65.67
K00103,0.0,0.0
K00104,1396.7299999999998,569.91
K00105,0.0,0.0
K00106,0.0,0.0
K00108,531.25,143.95000000000002
K00109,0.0,0.0
K00111,1524.3200000000002,1110.92
K00112,114.42,47.150000000000006
K00113,105.42,47.150000000000006
K00114,174.3,7.33
K00116,142.67000000000002,136.46
K00117,202.3,52.370000000000005
K00118,23.0,0.0
K00121,490.11,634.42
K00122,45.0,0.0
K00123,2143.23,1493.9699999999998
K00124,705.55,797.5899999999999
K00125,19.0,0.0
K00126,165.4,40.0
K00127,637.05,787.48
K00128,2188.78,851.61
K00129,0.0,0.0
K00130,269.1,61.33
K00131,183.14,303.8
K00132,4.67,31.34
K00133,2581.6400000000003,1181.22
K00134,3014.31,2391.96
K00135,1230.06,1062.34
K00137,103.12,44.370000000000005
K00138,500.34,552.52
K00140,575.91,1047.08
K00141,103.0,18.0
K00145,2223.87,866.3000000000001
K00146,97.7,51.09
K00147,2097.33,1214.11
K00148,43.9,8.0
K00150,28.0,0.0
K00151,54.65,50.08
K00152,0.0,0.0
K00153,10.0,0.0
K00154,189.72000000000003,409.14
K00156,142.64999999999998,133.70000000000002
K00158,48.0,89.0
K00161,1084.76,241.07
K00162,988.76,241.07
K00163,446.7000000000001,428.84
K00164,878.01,557.1800000000001
K00166,179.44,432.48
K00167,187.44,432.48
K00169,302.4,67.5
K00170,349.9,0.5
K00171,306.9,0.5
K00172,349.4,67.5
K00174,2981.63,560.48
K00175,2884.63,560.48
K00176,1395.43,280.56
K00177,1452.43,280.56
K00179,1078.92,157.03
K00180,1056.92,157.03
K00183,0.0,0.0
K00184,721.0,59.0
K00185,726.0,59.0
K00186,78.0,0.0
K00187,28.0,0.0
K00188,5.0,0.0
K00189,0.0,0.0
K00192,28.0,0.0
K00193,51.0,0.0
K00194,46.2,82.25
K00195,28.0,0.0
K00196,102.42,139.76
K00197,138.9,82.25
K00198,149.43,288.91
K00200,123.5,0.0
K00201,127.5,0.0
K00202,158.5,0.0
K00203,51.0,0.0
K00204,5.0,0.0
K00205,33.0,0.0
K00207,0.0,0.0
K00208,1938.17,282.54
K00209,175.02,407.54
K00210,128.0,0.0
K00211,0.0,0.0
K00213,0.0,0.0
K00214,0.0,0.0
K00215,2633.08,1278.84
K00216,84.42,55.150000000000006
K00217,4.0,0.0
K00218,0.0,0.0
K00219,336.02,379.84
K00220,189.5,60.0
K00221,0.0,0.0
K00222,0.0,0.0
K00226,1061.0,43.71
K00227,0.0,0.0
K00228,651.57,481.84
K00230,208.49,1141.79
K00231,389.08,82.02
K00232,24.0,0.0
K00239,2032.95,611.63
K00240,1973.51,618.96
K00241,1824.11,611.63
K00242,519.57,486.17
K00243,990.64,1017.52
K00244,366.75,1962.45
K00245,87.25,685.15
K00246,87.25,1110.29
K00247,41.42,364.51
K00248,631.75,369.80000000000007
K00249,1185.45,343.66
K00252,569.75,211.33
K00253,410.67,434.47
K00254,763.9,573.34
K00255,39.25,0.0
K00256,0.0,0.0
K00257,2805.49,817.26
K00259,1551.8100000000002,500.04
K00260,50.080000000000005,191.93
K00261,810.54,92.08
K00262,2079.79,546.97
K00263,205.14,542.26
K00264,0.0,0.0
K00265,1374.83,833.7900000000001
K00266,3165.29,1951.36
K00270,0.0,0.0
K00271,0.0,0.0
K00273,19.0,0.0
K00274,95.61,297.67
K00275,1190.65,537.84
K00276,0.0,0.0
K00278,2195.36,877.5600000000001
K00279,0.0,0.0
K00280,0.0,0.0
K00281,1118.7199999999998,688.84
K00282,878.21,201.12
K00283,878.21,201.12
K00284,218.67,294.05
K00285,970.16,230.02
K00286,2483.77,1129.47
K00287,1527.67,952.47
K00288,101.5,0.0
K00290,767.33,276.89
K00293,9.0,0.0
K00294,493.04,151.6
K00297,2051.25,848.96
K00298,6.0,12.0
K00299,174.7,119.97
K00301,58.5,19.340000000000003
K00302,267.5,201.46
K00303,459.3,54.120000000000005
K00304,198.3,8.0
K00305,162.3,8.0
K00306,0.0,0.0
K00311,544.6700000000001,473.47
K00313,128.70000000000002,93.14
K00314,0.0,0.0
K00315,93.0,0.0
K00316,29.02,0.0
K00317,0.0,0.0
K00318,396.04,135.04
K00319,28.0,0.0
K00320,109.0,0.0
K00322,136.3,52.370000000000005
K00324,1143.72,577.17
K00325,666.07,478.84
K00326,0.0,0.0
K00329,0.0,0.0
K00330,2211.4,252.98
K00331,2204.4,252.98
K00332,1522.0,200.61
K00333,1673.0,200.61
K00334,2831.5200000000004,580.4
K00335,2268.19,582.08
K00336,1962.02,777.11
K00337,2287.9,252.98
K00338,2152.9,249.98
K00339,2224.9,252.98
K00340,2165.9,252.98
K00341,2095.9,252.98
K00342,2538.4,252.98
K00343,2160.9,252.98
K00344,982.97,338.03000000000003
K00346,747.27,644.28
K00347,795.77,749.28
K00348,804.52,645.9
K00349,810.77,644.28
K00350,796.5400000000001,644.28
K00351,757.77,644.28
K00354,51.83,76.12
K00355,177.04000000000002,74.13
K00356,415.0,106.33
K00360,0.0,0.0
K00362,468.6700000000001,230.03
K00363,454.8200000000001,196.7
K00364,120.46,303.05
K00365,0.0,0.0
K00366,25.22,180.18
K00367,0.0,0.0
K00368,137.4,10.33
K00370,178.85,140.85000000000002
K00371,179.6,140.85000000000002
K00372,386.0,159.04000000000002
K00373,179.6,140.85000000000002
K00374,203.6,140.85000000000002
K00375,888.31,1055.8000000000002
K00376,168.4,7.33
K00380,518.4,449.18
K00381,542.07,540.18
K00382,3414.92,1293.72
K00383,436.36,540.84
K00384,3778.67,2124.35
K00385,80.06,375.0
K00387,0.0,0.0
K00389,123.05,44.370000000000005
K00390,850.6,593.1800000000001
K00392,72.55,58.95
K00394,107.89,173.0
K00395,107.89,173.0
K00399,28.0,0.0
K00400,56.0,0.0
K00401,28.0,0.0
K00402,28.0,0.0
K00404,540.29,406.97
K00405,473.23,511.97
K00406,525.23,521.97
K00407,356.73,406.97
K00410,21.5,1.62
K00411,530.25,436.59
K00412,522.25,541.59
K00413,446.0,434.97
K00423,5.0,40.0
K00425,1724.81,1044.84
K00426,1732.14,1044.84
K00427,75.39999999999999,44.370000000000005
K00428,730.98,584.22
K00430,0.0,0.0
K00432,1698.95,1509.58
K00433,281.46,467.45
K00435,0.0,0.0
K00436,154.0,0.0
K00437,41.0,0.0
K00440,5.0,0.0
K00441,61.0,0.0
K00442,5.0,0.0
K00443,5.0,0.0
K00446,121.4,7.33
K00448,91.65,26.950000000000003
K00449,177.15,26.950000000000003
K00450,89.25,94.37
K00451,341.67,414.47
K00452,95.9,0.0
K00453,212.54,69.33
K00455,54.65,50.08
K00456,0.0,0.0
K00457,528.3199999999999,516.13
K00459,920.45,629.3
K00461,0.0,0.0
K00462,0.0,0.0
K00463,7.0,0.0
K00464,6.0,0.0
K00466,39.4,0.0
K00467,7.0,0.0
K00469,7.0,0.0
K00471,0.0,8.0
K00472,108.0,146.33
K00474,0.0,0.0
K00476,0.0,0.0
K00477,1.0,7.33
K00479,192.9,8.0
K00480,253.9,44.370000000000005
K00481,183.65,115.95
K00483,28.25,65.09
K00484,30.65,42.75
K00485,0.0,0.0
K00486,81.5,3.0
K00491,2.54,19.340000000000003
K00493,7.0,0.0
K00496,142.55,7.33
K00499,15.55,0.0
K00500,267.71,429.47
K00501,0.0,0.0
K00504,0.0,0.0
K00505,14.0,10.0
K00507,373.77,379.47
K00508,105.15,66.33
K00510,22.0,0.0
K00511,0.0,0.0
K00514,0.0,0.0
K00517,104.5,10.0
K00518,38.0,0.0
K00520,49.0,222.47
K00523,258.9,93.33
K00524,0.0,0.0
K00525,2762.19,1557.07
K00526,727.6,980.69
K00527,1516.46,1261.8000000000002
K00528,2418.5600000000004,1147.89
K00529,359.55,77.33
K00531,2.0,34.78
K00532,51.89,228.42
K00533,62.67,121.34
K00534,78.5,0.0
K00537,1668.85,1748.37
K00543,0.0,0.0
K00544,0.0,0.0
K00545,0.0,0.0
K00547,200.69,241.01
K00548,2849.2700000000004,1128.39
K00549,488.9,1071.44
K00554,2502.37,1066.22
K00555,28.0,0.0
K00556,272.46000000000004,101.37
K00557,173.9,373.01
K00558,1702.36,1125.71
K00559,0.0,0.0
K00560,1475.61,941.8
K00561,0.0,3.0
K00563,189.4,820.6999999999999
K00564,355.78,951.33
K00566,2684.4,1078.72
K00567,2389.3500000000004,959.73
K00568,618.07,486.67
K00569,101.17,320.14
K00570,145.0,8.0
K00571,806.24,153.2
K00573,1781.82,595.67
K00574,1006.13,718.79
K00575,1837.36,1188.85
K00577,51.0,0.0
K00578,28.0,0.0
K00579,28.0,0.0
K00580,28.0,0.0
K00581,28.0,0.0
K00582,28.0,0.0
K00583,28.0,0.0
K00584,51.0,0.0
K00586,28.0,0.0
K00587,26.0,0.0
K00588,0.0,0.0
K00589,0.0,0.0
K00590,23.0,0.0
K00594,10.0,0.0
K00595,511.17,217.02
K00596,0.0,0.0
K00598,170.15,18.950000000000003
