#OTU ID,SRR30160165_CASTELLANO-HINOJOSA_2024,SRR30160132_CASTELLANO-HINOJOSA_2024,SRR30160130_CASTELLANO-HINOJOSA_2024,SRR30160157_CASTELLANO-HINOJOSA_2024,SRR30160146_CASTELLANO-HINOJOSA_2024,SRR30160127_CASTELLANO-HINOJOSA_2024,SRR30160129_CASTELLANO-HINOJOSA_2024,SRR30160152_CASTELLANO-HINOJOSA_2024,SRR30160140_CASTELLANO-HINOJOSA_2024,SRR30160139_CASTELLANO-HINOJOSA_2024,SRR30160120_CASTELLANO-HINOJOSA_2024,SRR30160167_CASTELLANO-HINOJOSA_2024,SRR30160150_CASTELLANO-HINOJOSA_2024,SRR30160151_CASTELLANO-HINOJOSA_2024,SRR30160125_CASTELLANO-HINOJOSA_2024,SRR30160162_CASTELLANO-HINOJOSA_2024,SRR30160141_CASTELLANO-HINOJOSA_2024,SRR30160135_CASTELLANO-HINOJOSA_2024,SRR30160145_CASTELLANO-HINOJOSA_2024,SRR30160138_CASTELLANO-HINOJOSA_2024,SRR30160128_CASTELLANO-HINOJOSA_2024,SRR30160158_CASTELLANO-HINOJOSA_2024,SRR30160159_CASTELLANO-HINOJOSA_2024,SRR30160123_CASTELLANO-HINOJOSA_2024,SRR30160142_CASTELLANO-HINOJOSA_2024,SRR30160156_CASTELLANO-HINOJOSA_2024,SRR30160133_CASTELLANO-HINOJOSA_2024,SRR30160126_CASTELLANO-HINOJOSA_2024,SRR30160144_CASTELLANO-HINOJOSA_2024,SRR30160136_CASTELLANO-HINOJOSA_2024,SRR30160163_CASTELLANO-HINOJOSA_2024,SRR30160160_CASTELLANO-HINOJOSA_2024,SRR30160147_CASTELLANO-HINOJOSA_2024,SRR30160154_CASTELLANO-HINOJOSA_2024,SRR30160122_CASTELLANO-HINOJOSA_2024,SRR30160148_CASTELLANO-HINOJOSA_2024,SRR30160166_CASTELLANO-HINOJOSA_2024,SRR30160137_CASTELLANO-HINOJOSA_2024,SRR30160161_CASTELLANO-HINOJOSA_2024,SRR30160134_CASTELLANO-HINOJOSA_2024,SRR30160143_CASTELLANO-HINOJOSA_2024,SRR30160124_CASTELLANO-HINOJOSA_2024,SRR30160149_CASTELLANO-HINOJOSA_2024,SRR30160155_CASTELLANO-HINOJOSA_2024,SRR30160121_CASTELLANO-HINOJOSA_2024,SRR30160131_CASTELLANO-HINOJOSA_2024,SRR30160153_CASTELLANO-HINOJOSA_2024,SRR30160164_CASTELLANO-HINOJOSA_2024
K00001,1014.17,990.5,1102.93,788.16,846.5,1032.84,1109.49,559.0,977.91,1137.42,1084.89,1045.0,821.5799999999999,514.0,1057.16,1007.4,982.48,1135.5,920.25,1064.56,1141.0,1057.75,827.81,1213.57,845.2,650.34,1050.66,933.66,1052.57,960.0,1039.02,909.32,912.99,628.0,974.4699999999998,926.41,1022.36,1070.5,1161.24,1141.6,937.67,1029.8,1044.08,1093.37,1122.63,828.26,617.1700000000001,971.51
K00002,86.5,25.0,31.5,45.0,50.0,31.0,31.0,43.5,6.0,24.5,26.5,155.5,6.0,48.5,52.5,121.5,5.0,29.5,11.0,18.0,41.0,2.0,2.0,91.5,31.5,41.0,113.0,28.5,111.0,33.0,120.0,191.5,18.0,63.0,85.5,12.5,105.5,35.5,180.0,28.0,33.0,88.5,3.0,61.0,72.5,17.0,42.0,198.0
K00003,2741.7200000000003,2644.08,2228.27,2330.03,2488.7,2361.4700000000003,2272.32,2418.41,2680.16,2618.83,2700.42,2783.7200000000003,2663.88,2433.49,2436.36,2750.61,2757.02,2397.99,2443.92,2509.94,2381.4,2704.95,2574.78,2772.65,2351.47,2213.83,2706.65,2288.15,2721.24,2270.61,2720.95,2709.52,2654.24,2474.45,2682.65,2523.45,2762.33,2330.15,2797.78,2314.99,2375.19,2531.56,2505.83,2757.98,2682.4,2720.54,2293.02,2761.21
K00004,201.17,42.0,49.0,45.0,60.0,121.0,91.0,76.0,49.0,73.75,196.2,218.75,23.5,65.5,117.25,193.0,47.0,142.25,71.5,87.5,109.0,56.0,41.17,238.84,67.0,35.25,215.42,110.75,213.67,117.0,206.0,178.34,50.0,67.25,177.92000000000002,59.0,215.25,98.5,232.75,98.5,89.0,207.52,44.0,210.67,231.0,27.0,53.5,189.5
K00005,955.32,26.33,59.5,45.25,102.75,82.25,51.65,89.58,35.24,70.84,976.46,900.73,14.58,122.33,75.5,940.07,42.33,112.0,95.33,72.16,81.5,21.16,21.92,774.98,82.58,30.25,894.4000000000001,78.75,940.5,69.25,957.3,859.53,44.27,70.25,1029.36,44.15,901.81,66.83,839.86,104.25,65.5,878.35,23.0,912.82,982.83,19.16,79.34,846.02
K00006,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
K00007,20.17,35.0,24.0,34.0,15.0,15.0,33.0,6.0,31.0,21.0,22.08,27.17,46.0,2.0,9.0,17.0,36.0,2.0,8.0,27.0,8.0,36.0,37.0,20.46,13.0,22.0,18.29,9.0,19.62,9.0,21.0,18.31,28.0,12.0,25.17,22.0,17.14,7.0,18.33,3.0,15.0,40.2,34.0,21.25,11.0,37.0,10.0,16.0
K00008,1454.33,279.5,599.0,548.5,767.12,803.0,461.48,1101.58,414.5,724.0,1491.23,1498.2199999999998,290.5,1062.08,868.5,1469.34,392.0,1018.5,614.5799999999999,600.5,710.0,719.0,264.25,1573.73,913.7,976.0,1435.35,679.0,1321.43,959.0,1413.88,1328.78,556.5,1031.0,1313.72,708.27,1292.81,734.5799999999999,1439.23,529.5,775.5,1209.04,642.0,1408.64,1560.04,342.5,964.0,1255.05
K00009,189.5,19.83,23.66,9.5,24.12,17.83,14.17,24.0,10.66,27.67,194.9,176.5,8.5,24.0,22.33,160.46,15.5,41.0,28.0,22.16,27.33,7.33,2.5,197.55,27.12,13.5,181.13,13.5,169.7,29.33,201.37,196.85,17.44,13.0,194.49,17.62,174.97,22.5,153.6,38.83,26.0,259.45,8.0,195.32,188.86,8.5,12.67,153.87
K00010,655.6800000000001,171.0,373.0,287.0,327.0,491.0,314.8,438.16,243.0,396.5,699.38,744.71,158.0,365.66,482.0,678.5300000000001,237.0,506.0,306.66,329.5,389.0,393.0,208.33,876.43,360.16,383.5,702.74,391.0,720.75,409.5,739.83,651.0999999999999,263.0,401.5,594.63,355.3,664.5899999999999,376.66,835.74,290.0,376.5,704.6500000000001,295.0,734.12,807.0600000000001,188.0,391.5,667.73
