#OTU ID,SRR3216403_ZHAO_2017,SRR3214536_ZHAO_2017,SRR3216397_ZHAO_2017,SRR5121315_ZHAO_2017,SRR3214613_ZHAO_2017,SRR3214649_ZHAO_2017,SRR3215144_ZHAO_2017,SRR3216404_ZHAO_2017,SRR3215242_ZHAO_2017,SRR3214554_ZHAO_2017,SRR3215152_ZHAO_2017,SRR3215291_ZHAO_2017,SRR3215174_ZHAO_2017,SRR3215202_ZHAO_2017,SRR3214699_ZHAO_2017,SRR3216395_ZHAO_2017,SRR5121313_ZHAO_2017,SRR3214547_ZHAO_2017,SRR3216396_ZHAO_2017,SRR5121312_ZHAO_2017,SRR3214573_ZHAO_2017,SRR3216392_ZHAO_2017,SRR3216391_ZHAO_2017,SRR3216398_ZHAO_2017,SRR3215163_ZHAO_2017,SRR5121314_ZHAO_2017
K00001,1261.56,757.3599999999999,703.1700000000001,535.26,802.4,837.57,918.87,1157.64,765.5,730.1700000000001,708.0099999999999,878.1800000000001,804.01,838.84,854.44,809.6300000000001,464.92,731.9999999999999,722.31,486.74,799.9300000000001,867.97,882.1,901.1,744.0,466.78
K00002,65.5,42.5,44.0,37.0,106.5,129.0,44.5,42.5,49.5,80.0,41.5,52.0,55.0,35.0,48.5,48.0,70.5,54.0,49.0,62.0,62.5,43.0,46.5,67.5,39.5,41.0
K00003,2406.56,2391.03,2470.94,2644.07,2359.58,2384.96,2347.92,2419.3100000000004,2458.22,2429.53,2470.87,2415.75,2446.38,2392.77,2441.76,2326.57,2601.45,2500.35,2349.33,2523.23,2448.36,2432.76,2393.33,2465.42,2481.21,2601.76
K00004,112.0,41.0,89.50999999999999,108.0,80.0,75.00999999999999,100.0,93.0,119.5,69.0,37.0,126.0,69.0,86.0,85.0,111.8,98.0,44.0,114.0,80.0,79.4,78.3,60.25,99.5,61.5,102.99
K00005,250.1,87.95,134.4,148.5,105.6,88.4,132.32,249.66,173.35000000000002,143.07,84.6,150.12,165.85,160.4,121.97,173.07999999999998,187.47,100.4,197.2,171.38,134.15,152.42000000000002,124.4,157.63,84.97,185.18
K00006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K00007,39.0,12.0,13.8,41.5,12.8,27.4,15.4,10.8,20.2,5.8,32.0,10.6,25.6,34.8,13.2,14.2,0.0,20.8,9.8,0.0,10.0,14.2,13.2,18.0,38.6,45.0
K00008,310.73,703.1700000000001,721.21,890.77,751.63,714.21,690.01,541.79,787.08,740.04,630.14,705.09,605.3,597.37,756.5,731.99,659.86,840.53,704.89,903.38,676.36,554.0,654.8699999999999,629.23,784.5699999999999,805.36
K00009,155.7,114.6,113.9,86.8,111.1,136.4,117.97,163.8,196.37,129.57,130.6,214.53,128.6,125.4,144.07000000000002,182.83,146.4,117.4,157.3,85.2,147.4,120.17,88.9,103.63,105.47,121.6
K00010,167.0,95.0,173.9,195.14,98.4,114.2,118.2,142.4,164.07999999999998,101.4,130.0,155.92000000000002,183.8,257.4,129.6,159.6,33.86,111.4,139.70000000000002,35.58,162.0,154.6,169.6,181.5,216.8,136.57
K00011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K00012,3406.8300000000004,2383.81,2436.6,2546.8,2383.6,2360.4700000000003,2469.28,3131.9,2385.03,2507.94,2340.56,2381.14,2507.03,2470.6,2570.17,2221.28,2455.1,2472.26,2208.67,2477.24,2491.7200000000003,2493.45,2435.07,2415.83,2497.7,2455.75
K00013,2519.5599999999995,2509.1800000000003,2554.54,2591.27,2495.98,2490.06,2549.7,2523.6800000000003,2476.2,2517.96,2582.41,2495.47,2555.28,2500.37,2563.19,2358.49,2570.88,2609.28,2391.11,2528.7,2546.38,2555.67,2509.85,2540.29,2598.24,2589.83
K00014,3153.0600000000004,2473.4300000000003,2509.8100000000004,2765.77,2441.08,2425.53,2574.25,2883.38,2491.52,2410.56,2511.41,2518.42,2527.38,2607.4700000000003,2622.09,2539.44,2568.05,2492.88,2579.61,2569.6800000000003,2454.13,2542.12,2495.25,2587.19,2533.94,2810.99
K00015,459.5,720.0,825.5,526.0,638.0,730.0,651.1700000000001,554.5,818.1700000000001,634.6700000000001,706.5,743.3299999999999,676.0,681.0,609.1700000000001,632.8299999999999,381.5,859.0,588.5,528.5,711.0,813.6700000000001,784.0,751.8299999999999,722.67,450.0
K00016,511.53,332.77,491.5700000000001,609.27,290.18,378.99,343.8,504.07,616.02,433.99,375.02,552.95,447.4,521.5699999999999,402.32,544.9399999999999,595.22,334.65000000000003,635.54,561.99,427.56,489.62,507.65,530.09,358.14000000000004,581.49
K00018,1010.7,401.83,424.47,551.17,461.8,369.9,521.9,841.63,405.87,479.8,375.14,449.1,464.6,454.8,462.37,455.0,432.0,403.3,414.3,464.17,368.9,461.83,502.45,457.5,419.6,475.0
