#OTU ID,SRR6072276_ALAGAPPA_2017,SRR6072278_ALAGAPPA_2017
K00001,1672.95,1138.75
K00002,0.0,81.5
K00003,2086.56,1919.42
K00004,302.97,74.25
K00005,0.0,21.0
K00006,20.0,28.0
K00007,0.0,0.0
K00008,607.5,414.0
K00009,108.0,65.0
K00010,583.0,158.0
K00011,19.0,6.0
K00012,2794.14,2547.75
K00013,2493.31,2368.92
K00014,3078.86,2394.17
K00015,658.0,516.5
K00016,178.0,112.5
K00018,388.05,490.58
K00019,1414.47,673.75
K00020,2882.69,2087.0
K00021,6.0,33.0
K00023,1550.32,628.3199999999999
K00024,2522.81,2364.67
K00027,745.9200000000001,487.33
K00029,2431.14,1886.25
K00030,344.17,344.83
K00031,3028.11,2716.25
K00032,34.5,24.0
K00033,1816.74,1359.18
K00034,159.34,205.76
K00035,270.0,69.5
K00036,2487.84,1604.17
K00038,678.0,61.5
K00039,0.0,0.0
K00040,205.0,98.0
K00041,214.84,220.51
K00042,947.21,556.24
K00043,35.0,3.0
K00045,163.5,57.0
K00046,583.84,562.76
K00048,0.0,0.0
K00050,880.39,512.8299999999999
K00051,25.0,9.0
K00052,2563.31,2305.42
K00053,2402.6400000000003,2291.09
K00054,415.67,303.58000000000004
K00055,215.25,7.0
K00057,2657.98,2314.5
K00058,3768.49,3536.4300000000003
K00059,12248.95,9347.55
K00060,589.5,336.83
K00064,208.34,117.01
K00065,441.5,328.5
K00066,37.94,24.0
K00067,2494.78,2284.67
K00068,0.0,0.0
K00073,13.0,0.0
K00074,2757.1800000000003,2153.6
K00075,2598.31,2024.67
K00076,182.0,0.0
K00077,2047.09,1641.23
K00078,0.0,0.0
K00082,34.0,0.0
K00086,43.0,67.5
K00087,106.0,82.5
K00088,3169.98,2529.67
K00090,412.47,85.0
K00091,1045.84,470.66
K00094,0.0,0.0
K00096,34.0,0.0
K00097,2268.81,2210.67
K00098,15.0,20.0
K00099,2181.1400000000003,2137.09
K00100,1560.5600000000002,1438.01
K00101,960.97,247.0
K00102,515.5,328.25
K00103,25.0,55.0
K00104,1968.06,1729.67
K00105,0.0,0.0
K00106,0.0,13.0
K00108,1475.36,712.5799999999999
K00109,0.0,55.0
K00111,2667.64,1717.0
K00112,1.67,0.0
K00113,38.67,13.33
K00114,482.83,259.33
K00116,653.75,412.26
K00117,841.31,491.01
K00118,142.84,196.51
K00121,2723.47,897.41
K00122,416.33,88.08
K00123,1876.32,910.66
K00124,1000.27,401.08
K00125,0.0,0.0
K00126,270.72,141.0
K00127,777.27,337.58
K00128,5819.74,3275.84
K00129,0.0,0.0
K00130,1005.88,574.75
K00131,208.56,307.26
K00132,19.0,0.0
K00133,2740.31,2647.67
K00134,3565.66,3286.08
K00135,3290.28,2067.75
K00137,43.66,79.0
K00138,978.97,413.41
K00140,1970.11,979.58
K00141,120.58,61.33
K00145,2519.7,2333.0
K00146,210.8,166.32999999999998
K00147,2141.97,1858.41
K00148,64.72,89.5
K00150,61.0,47.0
K00151,78.5,41.0
K00152,0.0,0.0
K00153,221.0,9.0
K00154,948.72,389.5
K00156,456.17,201.83
K00158,12.0,0.0
K00161,2341.81,1913.83
K00162,2178.64,1839.5
K00163,1531.3,822.0799999999999
K00164,2147.31,1776.67
K00166,628.56,393.66
K00167,673.89,469.33
K00169,190.33,106.33
K00170,175.0,71.5
K00171,47.0,25.0
K00172,159.32999999999998,91.33
K00174,1364.83,1507.58
K00175,1325.83,1472.58
K00176,224.0,239.5
K00177,215.0,239.5
K00179,191.33,173.57999999999998
K00180,184.33,173.57999999999998
K00183,0.0,0.0
K00184,846.6800000000001,1087.92
K00185,794.6800000000001,1077.17
K00186,16.0,5.0
K00187,16.0,5.0
K00188,0.0,0.0
K00189,0.0,0.0
K00192,0.0,0.0
K00193,0.0,0.0
K00194,0.0,0.0
K00195,0.0,0.0
K00196,0.0,40.0
K00197,0.0,40.0
K00198,22.0,57.5
K00200,59.0,29.5
K00201,59.0,29.5
K00202,59.0,29.5
K00203,0.0,0.0
K00204,0.0,0.0
K00205,0.0,0.0
K00207,0.0,0.0
K00208,2384.25,2181.5
K00209,310.89,339.75
K00210,99.5,68.5
K00211,0.0,0.0
K00213,15.0,0.0
K00214,0.0,21.0
K00215,3040.31,2383.67
K00216,30.0,50.0
K00217,33.0,12.0
K00218,0.0,21.0
K00219,839.27,492.83
K00220,346.0,256.0
K00221,0.0,0.0
K00222,0.0,0.0
K00226,286.5,206.5
K00227,0.0,0.0
K00228,1788.14,1357.34
K00230,139.32999999999998,118.83
K00231,701.1700000000001,497.33
K00232,198.5,9.5
K00239,3142.98,2532.67
K00240,3245.31,2563.25
K00241,2984.31,2471.58
K00242,1714.13,812.16
K00243,296.39,433.58
K00244,262.33,90.58
K00245,229.33,80.58
K00246,229.33,80.58
K00247,191.0,74.25
K00248,645.28,433.25
K00249,4853.719999999999,2245.14
K00252,1822.65,1400.68
K00253,1181.4699999999998,695.91
K00254,1976.81,1624.17
K00255,189.5,7.0
K00256,24.5,15.5
K00257,6023.629999999999,2718.91
K00259,2164.3500000000004,2017.35
K00260,108.0,65.0
K00261,1093.2600000000002,1188.67
K00262,900.3,780.3299999999999
K00263,905.22,649.16
K00264,0.0,0.0
K00265,2223.31,1550.42
K00266,2566.2,1980.75
K00270,21.0,50.0
K00271,34.0,0.0
K00273,61.33,6.33
K00274,1113.23,502.51
K00275,2130.81,1672.92
K00276,344.0,67.0
K00278,2238.31,2236.67
K00279,0.0,0.0
K00280,0.0,0.0
K00281,1731.44,1166.92
K00282,881.1700000000001,866.5
K00283,886.1700000000001,866.5
K00284,204.0,363.0
K00285,2476.38,1148.67
K00286,2726.31,2494.67
K00287,2193.6400000000003,1882.67
K00288,87.0,54.0
K00290,343.5,116.5
K00293,105.84,170.51
K00294,927.51,729.59
K00297,2045.11,2084.34
K00298,0.0,0.0
K00299,713.02,374.33
K00301,214.72,45.5
K00302,400.61,195.58
K00303,493.61,290.58
K00304,248.94,143.25
K00305,248.94,139.25
K00306,0.0,0.0
K00311,1616.13,845.66
K00313,31.0,26.25
K00314,0.0,0.0
K00315,86.0,41.0
K00316,62.5,24.0
K00317,132.0,0.0
K00318,895.1800000000001,713.27
K00319,0.0,0.0
K00320,113.0,47.0
K00322,474.14,304.83
K00324,3411.93,2001.99
K00325,1846.63,1073.91
K00326,0.0,0.0
K00329,0.0,0.0
K00330,3120.99,2901.19
K00331,3048.49,2804.19
K00332,2518.1800000000003,2372.18
K00333,2658.1800000000003,2483.18
K00334,2729.15,2418.68
K00335,2836.65,2503.68
K00336,2620.15,2346.68
K00337,3032.16,2846.52
K00338,3030.99,2758.69
K00339,3037.49,2819.19
K00340,3074.49,2819.19
K00341,3136.16,2607.69
K00342,3308.33,3096.52
K00343,3013.49,2791.19
K00344,3412.45,1790.15
K00346,196.33,442.33
K00347,197.33,445.33
K00348,197.33,445.33
K00349,197.33,445.33
K00350,197.33,445.33
K00351,194.33,439.33
K00354,118.0,78.0
K00355,352.31,191.01
K00356,1071.33,578.0799999999999
K00360,34.0,0.0
K00362,1291.39,870.0899999999999
K00363,1304.39,730.5899999999999
K00364,215.0,118.0
K00365,43.0,0.0
K00366,7.0,66.5
K00367,197.34,232.01
K00368,826.34,366.26
K00370,840.8299999999999,245.08
K00371,840.8299999999999,231.08
K00372,825.0799999999999,480.83
K00373,731.8299999999999,150.07999999999998
K00374,751.8299999999999,169.07999999999998
K00375,2180.0,619.99
K00376,568.6700000000001,415.84
K00380,1232.19,642.0
K00381,1387.4699999999998,1096.66
K00382,5771.26,4215.77
K00383,1154.2199999999998,656.8299999999999
K00384,5203.820000000001,4181.02
K00385,0.0,0.0
K00387,0.0,0.0
K00389,130.72,104.0
K00390,1982.31,1716.67
K00392,404.34,323.01
K00394,0.0,2.5
K00395,0.0,2.5
K00399,0.0,0.0
K00400,0.0,0.0
K00401,0.0,0.0
K00402,0.0,0.0
K00404,1378.77,961.58
K00405,1309.77,846.5799999999999
K00406,1680.78,1473.42
K00407,910.77,624.5799999999999
K00410,7.0,12.0
K00411,1384.88,815.91
K00412,1430.05,1071.58
K00413,1272.55,747.5799999999999
K00423,60.0,7.0
K00425,2399.48,1895.34
K00426,2360.48,1881.34
