Pathway,Absolute Abundance,Relative Abundance
1CMET2-PWY,406543.2045737179,0.005014760879364039
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY,9644.20248473446,0.00011896243446947635
AEROBACTINSYN-PWY,290.4716328765363,3.583003638301169e-06
ALL-CHORISMATE-PWY,54995.868107217495,0.0006783808579457633
ANAEROFRUCAT-PWY,387021.21867907385,0.00477395476072627
ANAGLYCOLYSIS-PWY,534642.3421701675,0.006594879638383817
ARG+POLYAMINE-SYN,174107.73655907845,0.0021476405367704707
ARGDEG-PWY,4944.954728060962,6.0996630226566263e-05
ARGORNPROST-PWY,118084.67180363685,0.0014565890806964483
ARGSYN-PWY,434200.19827993936,0.005355913328890785
ARGSYNBSUB-PWY,484035.3854549589,0.005970636547110895
ARO-PWY,503419.6942306777,0.006209744401401351
ASPASN-PWY,195070.91219701964,0.0024062239097396836
AST-PWY,27188.6126586448,0.00033537491118002617
BENZCOA-PWY,71.16715181920324,8.778556493470747e-07
BIOTIN-BIOSYNTHESIS-PWY,264431.2147268855,0.0032617918488775156
BRANCHED-CHAIN-AA-SYN-PWY,624280.5579465609,0.007700578153853506
CALVIN-PWY,564407.147690038,0.00696203220820585
CATECHOL-ORTHO-CLEAVAGE-PWY,43026.580734499395,0.000530738212846062
CENTBENZCOA-PWY,710.7694876120127,8.76742983432657e-06
CENTFERM-PWY,112464.98628721667,0.001387269562463147
CHLOROPHYLL-SYN,3840.8072682256716,4.73768342876892e-05
COA-PWY,505154.44892567885,0.006231142815842706
COBALSYN-PWY,307665.2917548532,0.0037950895542532563
CODH-PWY,87202.27028546581,0.00107565082554464
COLANSYN-PWY,321505.5284968716,0.003965810592003194
COMPLETE-ARO-PWY,529612.1544247612,0.006532831648311101
CRNFORCAT-PWY,10957.294202129444,0.00013515958375478752
DAPLYSINESYN-PWY,423398.37553583074,0.005222671504864286
DENITRIFICATION-PWY,47321.49076531802,0.0005837164610632992
DENOVOPURINE2-PWY,433086.97451555985,0.00534218157560901
DHGLUCONATE-PYR-CAT-PWY,3531.0183930772,4.355555006874452e-05
DTDPRHAMSYN-PWY,496677.49182909005,0.0061265784980881035
ECASYN-PWY,1957.2209469780219,2.4142563266968797e-05
ENTBACSYN-PWY,36722.655062070306,0.0004529785073759789
FAO-PWY,379482.70171241154,0.004680966218432273
FASYN-ELONG-PWY,553229.5256134301,0.006824154852777258
FASYN-INITIAL-PWY,270781.7201081888,0.003340126120836982
FERMENTATION-PWY,273290.4226369913,0.0033710712778531765
FOLSYN-PWY,404534.7337069273,0.004989986141976201
FUC-RHAMCAT-PWY,8552.223734037329,0.00010549274106792342
FUCCAT-PWY,17939.792433208844,0.0002212895659449
GALACT-GLUCUROCAT-PWY,40983.132843153515,0.0005055320295197776
GALACTARDEG-PWY,13706.304880170897,0.0001690689716134562
GALACTUROCAT-PWY,94277.84178919178,0.0011629288781029974
GALLATE-DEGRADATION-I-PWY,17606.57642298159,0.00021717930510751243
GALLATE-DEGRADATION-II-PWY,8086.5986992741655,9.974919848127215e-05
GLCMANNANAUT-PWY,30021.255778571023,0.0003703159155879106
GLUCARDEG-PWY,14322.390380438328,0.00017666846271385245
GLUCARGALACTSUPER-PWY,13706.304880170897,0.0001690689716134562
GLUCONEO-PWY,489073.09115949814,0.006032777272142475
GLUCOSE1PMETAB-PWY,102755.60193305454,0.001267503101545381
GLUCUROCAT-PWY,48645.052183235544,0.0006000427554038182
GLUTORN-PWY,453636.06038299866,0.005595657099871619
GLYCOCAT-PWY,329980.04063618137,0.004070344750906348
GLYCOGENSYNTH-PWY,335035.66344894003,0.00413270648569128
GLYCOL-GLYOXDEG-PWY,5668.599266170398,6.99228754065386e-05
GLYCOLYSIS,507789.52083372395,0.0062636467548339665
GLYCOLYSIS-E-D,317854.7155009438,0.003920777360642092
GLYCOLYSIS-TCA-GLYOX-BYPASS,295913.45166151586,0.0036501291483293542
GLYOXYLATE-BYPASS,212980.53373995412,0.002627141314008921
GOLPDLCAT-PWY,8057.397615837848,9.938899949330717e-05
HCAMHPDEG-PWY,8785.587548653868,0.0001083713126810568
HEME-BIOSYNTHESIS-II,242730.08295678667,0.0029941056954397144
HEMESYN2-PWY,370506.8982465683,0.004570248568807388
HEXITOLDEGSUPER-PWY,48777.73236485855,0.0006016793819094012
HISDEG-PWY,217303.57083074586,0.0026804665130014207
HISTSYN-PWY,462488.8190026661,0.005704856976049382
HOMOSER-METSYN-PWY,170386.30739813863,0.002101736246250663
HSERMETANA-PWY,370029.7270843361,0.004564362603305562
