	observed_features
DRR445947_FIHES_2023	26
DRR445948_FIHES_2023	33
SRR10131528_ZHANG_2020	81
SRR10131529_ZHANG_2020	138
SRR10131541_ZHANG_2020	120
SRR10131550_ZHANG_2020	143
SRR10131551_ZHANG_2020	137
SRR10131553_ZHANG_2020	122
SRR10267800_ZHANG_2020	25
SRR10267802_ZHANG_2020	141
SRR11319462_WANG_2021	31
SRR11319465_WANG_2021	34
SRR11319470_WANG_2021	24
SRR11319473_WANG_2021	40
SRR11319474_WANG_2021	26
SRR12327344_ALBARRACIN-ARIAS_2021	239
SRR12328004_ALBARRACIN-ARIAS_2021	83
SRR13855342_BEIHANG_2022	191
SRR13855343_BEIHANG_2022	213
SRR13855344_BEIHANG_2022	218
SRR13855345_BEIHANG_2022	213
SRR14119286_SPIESS_2021	88
SRR14119287_SPIESS_2021	92
SRR14119288_SPIESS_2021	43
SRR14119289_SPIESS_2021	75
SRR15714623_CASR_2022	43
SRR15714624_CASR_2022	52
SRR15714625_CASR_2022	54
SRR15714626_CASR_2022	36
SRR15879218_GUALTIERI_2023	231
SRR17982066_LI_2022	53
SRR17982067_LI_2022	33
SRR17982068_LI_2022	35
SRR18494399_CAO_2019	21
SRR18494400_CAO_2019	42
SRR18494402_CAO_2019	91
SRR20853640_LASCU_2022	876
SRR20853641_LASCU_2022	861
SRR20853642_LASCU_2022	869
SRR20853643_LASCU_2022	810
SRR20853644_LASCU_2022	850
SRR20853645_LASCU_2022	833
SRR21755284_DONGHUA_2022	105
SRR21755285_DONGHUA_2022	50
SRR21755286_DONGHUA_2022	77
SRR24018451_SPIESS_2023	74
SRR24888897_SHANDONG_2023	148
SRR24888898_SHANDONG_2023	114
SRR24888899_SHANDONG_2023	117
SRR24888900_SHANDONG_2023	88
SRR24888901_SHANDONG_2023	122
SRR24888902_SHANDONG_2023	107
SRR24888903_SHANDONG_2023	114
SRR24888904_SHANDONG_2023	99
SRR24888905_SHANDONG_2023	145
SRR24888906_SHANDONG_2023	129
SRR25536400_CUOG_2023	286
SRR25536401_CUOG_2023	294
SRR25536402_CUOG_2023	245
SRR25536404_CUOG_2023	53
SRR25536405_CUOG_2023	206
SRR25536406_CUOG_2023	401
SRR25536407_CUOG_2023	272
SRR25536409_CUOG_2023	295
SRR25536410_CUOG_2023	313
SRR25536411_CUOG_2023	319
SRR25536412_CUOG_2023	293
SRR25536413_CUOG_2023	314
SRR25536415_CUOG_2023	309
SRR25536416_CUOG_2023	338
SRR25536417_CUOG_2023	239
SRR25536418_CUOG_2023	230
SRR25536419_CUOG_2023	303
SRR25536420_CUOG_2023	267
SRR25536421_CUOG_2023	280
SRR25536422_CUOG_2023	277
SRR26068517_LASCU_2022	246
SRR26068518_LASCU_2022	409
SRR26068519_LASCU_2022	324
SRR26068520_LASCU_2022	343
SRR26284396_SCUT_2023	124
SRR26284398_SCUT_2023	130
SRR27374968_DONGHUA_2023	73
SRR27374969_DONGHUA_2023	49
SRR27374970_DONGHUA_2023	58
SRR27374972_DONGHUA_2023	76
SRR30160120_CASTELLANO-HINOJOSA_2024	504
SRR30160121_CASTELLANO-HINOJOSA_2024	444
SRR30160122_CASTELLANO-HINOJOSA_2024	491
SRR30160123_CASTELLANO-HINOJOSA_2024	525
SRR30160124_CASTELLANO-HINOJOSA_2024	573
SRR30160125_CASTELLANO-HINOJOSA_2024	481
SRR30160126_CASTELLANO-HINOJOSA_2024	506
SRR30160127_CASTELLANO-HINOJOSA_2024	534
SRR30160128_CASTELLANO-HINOJOSA_2024	541
SRR30160129_CASTELLANO-HINOJOSA_2024	521
SRR30160130_CASTELLANO-HINOJOSA_2024	487
SRR30160131_CASTELLANO-HINOJOSA_2024	473
SRR30160132_CASTELLANO-HINOJOSA_2024	502
SRR30160133_CASTELLANO-HINOJOSA_2024	481
SRR30160134_CASTELLANO-HINOJOSA_2024	503
SRR30160135_CASTELLANO-HINOJOSA_2024	471
SRR30160136_CASTELLANO-HINOJOSA_2024	551
SRR30160137_CASTELLANO-HINOJOSA_2024	527
SRR30160138_CASTELLANO-HINOJOSA_2024	572
SRR30160139_CASTELLANO-HINOJOSA_2024	548
SRR30160140_CASTELLANO-HINOJOSA_2024	517
SRR30160141_CASTELLANO-HINOJOSA_2024	500
SRR30160142_CASTELLANO-HINOJOSA_2024	582
SRR30160143_CASTELLANO-HINOJOSA_2024	559
SRR30160144_CASTELLANO-HINOJOSA_2024	474
SRR30160145_CASTELLANO-HINOJOSA_2024	549
SRR30160146_CASTELLANO-HINOJOSA_2024	567
SRR30160147_CASTELLANO-HINOJOSA_2024	558
SRR30160148_CASTELLANO-HINOJOSA_2024	516
SRR30160149_CASTELLANO-HINOJOSA_2024	510
SRR30160150_CASTELLANO-HINOJOSA_2024	484
SRR30160151_CASTELLANO-HINOJOSA_2024	573
SRR30160152_CASTELLANO-HINOJOSA_2024	570
SRR30160153_CASTELLANO-HINOJOSA_2024	588
SRR30160154_CASTELLANO-HINOJOSA_2024	576
SRR30160155_CASTELLANO-HINOJOSA_2024	517
SRR30160156_CASTELLANO-HINOJOSA_2024	501
SRR30160157_CASTELLANO-HINOJOSA_2024	489
SRR30160158_CASTELLANO-HINOJOSA_2024	533
SRR30160159_CASTELLANO-HINOJOSA_2024	506
SRR30160160_CASTELLANO-HINOJOSA_2024	527
SRR30160161_CASTELLANO-HINOJOSA_2024	471
SRR30160162_CASTELLANO-HINOJOSA_2024	491
SRR30160163_CASTELLANO-HINOJOSA_2024	488
SRR30160164_CASTELLANO-HINOJOSA_2024	480
SRR30160165_CASTELLANO-HINOJOSA_2024	496
SRR30160166_CASTELLANO-HINOJOSA_2024	486
SRR30160167_CASTELLANO-HINOJOSA_2024	487
SRR3214536_ZHAO_2017	300
SRR3214547_ZHAO_2017	300
SRR3214554_ZHAO_2017	304
SRR3214573_ZHAO_2017	373
SRR3214613_ZHAO_2017	310
SRR3214649_ZHAO_2017	311
SRR3214699_ZHAO_2017	324
SRR3215144_ZHAO_2017	356
SRR3215152_ZHAO_2017	326
SRR3215163_ZHAO_2017	351
SRR3215174_ZHAO_2017	307
SRR3215202_ZHAO_2017	285
SRR3215242_ZHAO_2017	375
SRR3215291_ZHAO_2017	344
SRR3216391_ZHAO_2017	341
SRR3216392_ZHAO_2017	390
SRR3216395_ZHAO_2017	339
SRR3216396_ZHAO_2017	337
SRR3216397_ZHAO_2017	383
SRR3216398_ZHAO_2017	349
SRR3216403_ZHAO_2017	199
SRR3216404_ZHAO_2017	275
SRR5121312_ZHAO_2017	227
SRR5121313_ZHAO_2017	187
SRR5121314_ZHAO_2017	216
SRR5121315_ZHAO_2017	270
SRR5133614_SRINIVASAN_BUTLER_2017	128
SRR5133615_SRINIVASAN_BUTLER_2017	44
SRR5133617_SRINIVASAN_BUTLER_2017	103
SRR5133618_SRINIVASAN_BUTLER_2017	103
SRR5133619_SRINIVASAN_BUTLER_2017	101
SRR5133620_SRINIVASAN_BUTLER_2017	154
SRR5133621_SRINIVASAN_BUTLER_2017	58
SRR5133622_SRINIVASAN_BUTLER_2017	86
SRR5133623_SRINIVASAN_BUTLER_2017	25
