,BIOFILME,CHORUME,LODO,OLEO,PEIXE,SEDIMENTO,SOLO
1CMET2-PWY,0.002222989861796168,0.004497608632040803,0.00510014843555348,0.00499449888217432,0.00519341166873587,0.004782957612776611,0.005071425598352108
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY,3.8622586262773163e-07,6.609623477790473e-05,0.00010517444750969242,0.00025420515843960976,0.0001274354976719935,0.00016853052313470934,0.0002461964196808226
AEROBACTINSYN-PWY,0.0,0.0,5.902534195373699e-06,0.0,9.335286790452995e-07,3.284605906103721e-06,9.511895841168375e-06
ALL-CHORISMATE-PWY,5.46126041510749e-06,8.40727016729566e-05,0.0005102136627686823,0.0015906735952841938,0.0009774991407645376,0.0008958149572832234,0.0017018728618503043
ANAEROFRUCAT-PWY,0.005410664429769741,0.0045831838416013435,0.004663614034194704,0.004541144985251679,0.005170685604391544,0.0044711495937321795,0.004302445189692812
ANAGLYCOLYSIS-PWY,0.0053423409947054665,0.006977620062030518,0.006766498345776056,0.006440078089478037,0.006138699505142218,0.006838517869201303,0.005887218149025053
ARG+POLYAMINE-SYN,0.0013078581134172175,0.0015878564212353586,0.001848048872337657,0.0023561357342154034,0.0027709171806787813,0.00222728545425106,0.002429253525614003
ARGDEG-PWY,5.327795265971424e-07,4.5046667463607943e-07,9.667502680689129e-05,1.715642576120891e-05,4.0814761842603433e-05,2.054212306867276e-05,0.00010042821417987717
ARGORNPROST-PWY,0.00010269537957315445,0.0007309998337552189,0.0013533534424993725,0.0012790271244496922,0.002026900115755817,0.0012083999175226282,0.0007097071608799968
ARGSYN-PWY,0.0118626417285658,0.006344271356993053,0.005322796997993664,0.004990589374022149,0.00479447501723249,0.005868888071142019,0.0043519641344207435
ARGSYNBSUB-PWY,0.012247368994958692,0.00655322562017237,0.00596018775604577,0.005184359978441673,0.005553319750249162,0.006391161270882327,0.005027796188289972
ARO-PWY,0.004232936429127287,0.005423092941365675,0.006486704070615878,0.005841507400551566,0.005974708113926907,0.0064105144287270955,0.005580437775609503
ASPASN-PWY,0.00221547208849574,0.002286022307368799,0.0031152508619105962,0.0029854901491268493,0.0015550915439216622,0.0019011416858398455,0.0012250166895601783
AST-PWY,2.2834646003530248e-07,0.00022046848590245193,0.00044350159976200504,0.0008225246921428854,0.00015402226558560074,0.00039299090137821937,0.0004424193139392761
BENZCOA-PWY,0.0,0.0,1.0802943262085188e-06,0.0,0.0,0.0,3.1307358112879544e-05
BIOTIN-BIOSYNTHESIS-PWY,1.909350484443845e-05,0.002018428018570591,0.003403516341842495,0.0032064974269740546,0.003543927311667139,0.0030176468644870194,0.004308080794410554
BRANCHED-CHAIN-AA-SYN-PWY,0.013151629275053346,0.0077995447591279006,0.007731567295067759,0.00725808206195216,0.007401885667377668,0.008003777590562578,0.007300189809634075
CALVIN-PWY,0.010035506004494177,0.007674195549234433,0.007149162654513829,0.0063786003463786696,0.006500342941733306,0.006855177107808847,0.005661237680566876
CATECHOL-ORTHO-CLEAVAGE-PWY,0.0,0.00017933469453222442,0.0005712302116483453,0.00022611768142715563,0.00072178199255593,0.0002714589980953314,0.0003181122207284675
CENTBENZCOA-PWY,0.0,4.492571794516041e-06,1.145665797457738e-05,8.003213256347155e-05,2.0558710346671958e-07,1.1229913628592562e-05,6.764718874000339e-05
CENTFERM-PWY,9.801675108267933e-05,0.0010821408726503555,0.0012999175969946293,0.0025080762388691538,0.0015004920250629168,0.0017074276574880005,0.0005465608422433438
CHLOROPHYLL-SYN,0.0,2.3719109928767357e-05,6.708964594130472e-05,0.0,3.063125547535001e-05,3.379174362170595e-05,5.405637611423567e-05
COA-PWY,0.012320399111934215,0.00809655718919902,0.006240051384125959,0.005819919638006195,0.0055498284463941965,0.006286752921473815,0.005430719487103521
COBALSYN-PWY,0.0013879289258494926,0.002298204905588334,0.004130641785176266,0.0038511032841168718,0.003968655825540812,0.0034660602198422403,0.002186596837379578
CODH-PWY,0.00034775625486158985,0.0008459205457491797,0.0011220846384680735,0.0009379964501673205,0.0005746542320157188,0.0021985329821068503,0.0006321670657589608
COLANSYN-PWY,0.0007534327731890662,0.0035438199730599505,0.004447185497339622,0.0034278744858750798,0.0033141741577250384,0.0041076496702968455,0.003954601860257891
COMPLETE-ARO-PWY,0.004682205456688034,0.005725731526293206,0.006829628575354785,0.006173603745834498,0.006233115501865741,0.006807306936975284,0.00592429272169692
