,Abundance,Percentage
PWY-3781,23.88022644987356,0.6870363246357708
PWY-5101,21.032071651193412,0.6050946475337389
PWY-7111,20.93957333926189,0.6024334625404625
ILEUSYN-PWY,20.330127396118773,0.5848996463632945
VALSYN-PWY,20.330127396118773,0.5848996463632945
PWY-7219,20.109644334219006,0.5785563282708122
PWY-7208,20.04432417435062,0.5766770612272271
BRANCHED-CHAIN-AA-SYN-PWY,19.825806943242018,0.5703903002685079
PWY-7229,19.819589175970034,0.5702114145287536
NONOXIPENT-PWY,19.709969222605636,0.5670576383271624
PWY-5686,19.51229757757448,0.5613706068087644
PWY-7663,19.47862628445158,0.5604018805899637
PWY-6121,19.472207893916693,0.5602172229003717
PWY-6126,19.392595010585232,0.557926752880227
PWY-5973,19.34726032347636,0.5566224697372186
PWY-6122,19.340814300470644,0.556437017058884
PWY-6277,19.340814300470644,0.556437017058884
PWY0-1319,19.304188952822905,0.5553833024180607
PWY-5667,19.304188952822905,0.5553833024180607
PWY-3001,19.10945015266462,0.5497806491180357
PWY-5103,19.024229377800953,0.5473288395396028
PWY-2942,19.022945311630536,0.5472918968370634
SER-GLYSYN-PWY,19.001406710972855,0.5466722293031431
THRESYN-PWY,18.994257504917453,0.5464665459834025
PWY0-162,18.993103941774976,0.5464333578650525
PWY-5104,18.900681962651262,0.54377436897372
CALVIN-PWY,18.871565145540735,0.5429366754512276
PHOSLIPSYN-PWY,18.74323233798426,0.5392445287030021
PWY-7221,18.727286466444102,0.5387857645032965
P42-PWY,18.681930852345282,0.5374808792888509
PWY-7222,18.629434991948983,0.5359705685277294
PWY-7220,18.629434991948983,0.5359705685277294
PWY-5097,18.60265040194728,0.5351999733949623
PWY-7228,18.314061764798847,0.5268972516006656
PWY-6123,18.211709538590604,0.5239525685818506
PWY-841,18.165192632346685,0.5226142728849344
PWY4FS-7,18.14491841187034,0.5220309816858262
PWY4FS-8,18.14491841187034,0.5220309816858262
ANAGLYCOLYSIS-PWY,18.112442623314678,0.5210966502440467
COA-PWY,18.103985241368417,0.5208533305828786
PWY-5659,18.092297669413377,0.5205170780562638
PWY-6125,18.03650022320693,0.5189117803658834
PWY-6163,18.030735684456214,0.518745934052624
DTDPRHAMSYN-PWY,17.856747040737066,0.513740264673396
FASYN-ELONG-PWY,17.84621927665138,0.513437379926501
COMPLETE-ARO-PWY,17.816401764837238,0.5125795273525494
GLYCOLYSIS,17.684679499251892,0.5087898655832016
TRNA-CHARGING-PWY,17.64314113520978,0.5075948030061034
ARGSYNBSUB-PWY,17.630085134449146,0.5072191806561288
PWY-6969,17.606748315858276,0.5065477782258788
TCA,17.55324393350411,0.5050084521947094
UDPNAGSYN-PWY,17.546682076051816,0.5048196669486283
TRPSYN-PWY,17.471935996364742,0.5026692153196652
GLUCONEO-PWY,17.42850130175461,0.5014195951366548
ARO-PWY,17.35932537569781,0.4994293973430492
PWY-6387,17.352958494995665,0.4992462215961116
PEPTIDOGLYCANSYN-PWY,17.30164264465809,0.49776985983356753
POLYISOPRENSYN-PWY,17.22878286591564,0.49567367725732336
PWY-5695,17.206091189583926,0.4950208356295654
PWY-6385,17.163076048405667,0.4937832860376118
PWY-6386,17.146120046336115,0.49329546028910665
HISTSYN-PWY,17.090674233227457,0.4917002791154869
PWY-7197,17.077335906591244,0.4913165342239479
GLUTORN-PWY,16.977400953407376,0.4884413963737179
PWY-5484,16.894258000681187,0.4860493659304443
ARGSYN-PWY,16.777098493565155,0.4826786760697725
PWY-7400,16.750140907373954,0.481903103820626
RIBOSYN2-PWY,16.69105891810031,0.48020330952227885
OANTIGEN-PWY,16.52900277822067,0.47554093938264563
PWY-5188,16.52000884975802,0.47528218322855365
PANTOSYN-PWY,16.336255845157076,0.4699955922832454
DENOVOPURINE2-PWY,16.333840999486878,0.46992611694986447
PWY-6897,16.322336798156403,0.46959514001308583
PWY-7184,16.23948794258633,0.46721157077220693
DAPLYSINESYN-PWY,16.196274515426893,0.46596831647422715
NONMEVIPP-PWY,16.187498489200436,0.4657158293876332
PWY-7560,16.187498489200436,0.4657158293876332
PANTO-PWY,16.163203428335247,0.4650168582384836
PWY0-166,16.107645643947,0.46341845564078915
PWY-5189,16.096934841916944,0.46311030487529803
PWY-7323,15.954802946971812,0.45902115710605074
PWY-7211,15.941149358194584,0.458628342093543
PWY-5121,15.939278809380218,0.45857452623106904
