Pathway ID,Raw Abundance,Relative Abundance (%)
1CMET2-PWY,193393.13494008165,0.5100148435553481
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY,3988.122380458351,0.010517444750969244
AEROBACTINSYN-PWY,223.81889597110768,0.0005902534195373699
ALL-CHORISMATE-PWY,19346.852543398374,0.05102136627686823
ANAEROFRUCAT-PWY,176840.1350706173,0.4663614034194705
ANAGLYCOLYSIS-PWY,256579.65531634502,0.6766498345776057
ARG+POLYAMINE-SYN,70076.38492487842,0.1848048872337657
ARGDEG-PWY,3665.831836239914,0.009667502680689131
ARGORNPROST-PWY,51317.97010109995,0.13533534424993726
ARGSYN-PWY,201835.77225236935,0.5322796997993664
ARGSYNBSUB-PWY,226005.0681932932,0.596018775604577
ARO-PWY,245970.10292875013,0.6486704070615879
ASPASN-PWY,118127.56783897415,0.3115250861910597
AST-PWY,16817.18989412267,0.04435015997620051
BENZCOA-PWY,40.96380900348756,0.0001080294326208519
BIOTIN-BIOSYNTHESIS-PWY,129058.34084754191,0.3403516341842495
BRANCHED-CHAIN-AA-SYN-PWY,293174.2195521208,0.773156729506776
CALVIN-PWY,271089.9487385101,0.714916265451383
CATECHOL-ORTHO-CLEAVAGE-PWY,21660.54631528997,0.057123021164834524
CENTBENZCOA-PWY,434.4263759451463,0.0011456657974577382
CENTFERM-PWY,49291.72992183453,0.12999175969946294
CHLOROPHYLL-SYN,2543.9802614688024,0.0067089645941304735
COA-PWY,236617.25038250812,0.624005138412596
COBALSYN-PWY,156630.29698919767,0.41306417851762667
CODH-PWY,42548.460822964094,0.11220846384680735
COLANSYN-PWY,168633.3556480578,0.4447185497339622
COMPLETE-ARO-PWY,258973.49799798307,0.6829628575354786
CRNFORCAT-PWY,4296.566745275507,0.011330871786610863
DAPLYSINESYN-PWY,186447.4753365529,0.4916978050669863
DENITRIFICATION-PWY,29008.733802315106,0.07650160299904299
DENOVOPURINE2-PWY,197065.66078486602,0.5196999996223459
DHGLUCONATE-PYR-CAT-PWY,773.2979655034989,0.002039335269166248
DTDPRHAMSYN-PWY,231044.18307011272,0.6093078894418122
ECASYN-PWY,1065.2213536352156,0.0028091933159592394
ENTBACSYN-PWY,17884.33997590783,0.04716443971875892
FAO-PWY,158208.62337389606,0.4172265283570904
FASYN-ELONG-PWY,289576.49920020276,0.7636688498930149
FASYN-INITIAL-PWY,131161.78227175123,0.34589881324636224
FERMENTATION-PWY,125809.02338497918,0.3317825599105219
FOLSYN-PWY,194360.57079366155,0.5125661577251415
FUC-RHAMCAT-PWY,5647.027179271972,0.01489229534585866
FUCCAT-PWY,11310.313877934786,0.029827470167459697
GALACT-GLUCUROCAT-PWY,21383.2959368008,0.056391858662842805
GALACTARDEG-PWY,8339.212232928357,0.021992104443984178
GALACTUROCAT-PWY,48425.548715278645,0.1277074734827415
GALLATE-DEGRADATION-I-PWY,8962.222814606272,0.023635103014984296
GALLATE-DEGRADATION-II-PWY,5303.90444824692,0.013987414797548373
GLCMANNANAUT-PWY,13320.310443975948,0.035128217189808145
GLUCARDEG-PWY,8890.30025930569,0.02344542942185964
GLUCARGALACTSUPER-PWY,8339.212232928357,0.021992104443984178
GLUCONEO-PWY,235779.8790830512,0.6217968294546665
GLUCOSE1PMETAB-PWY,45199.8085768489,0.11920057714145632
GLUCUROCAT-PWY,25294.287546626252,0.06670589475646839
GLUTORN-PWY,213016.5064812123,0.5617654435426694
GLYCOCAT-PWY,150738.34881055445,0.3975259794522981
GLYCOGENSYNTH-PWY,139847.98451614653,0.3688059970000045
GLYCOL-GLYOXDEG-PWY,2657.386729315493,0.007008039232818732
GLYCOLYSIS,242898.51313120365,0.640570034778222
GLYCOLYSIS-E-D,139128.5545483273,0.36690872198763114
GLYCOLYSIS-TCA-GLYOX-BYPASS,125699.36019763163,0.3314933570215146
GLYOXYLATE-BYPASS,93787.51279298787,0.24733568582659804
GOLPDLCAT-PWY,3928.0577752685713,0.010359042849947419
HCAMHPDEG-PWY,2853.7638897145757,0.00752592352467745
HEME-BIOSYNTHESIS-II,121679.42036889996,0.32089200354799186
HEMESYN2-PWY,177714.36860135247,0.46866692516173336
HEXITOLDEGSUPER-PWY,14640.989150280107,0.03861110061269327
HISDEG-PWY,97754.66008939088,0.25779781525204465
HISTSYN-PWY,222076.00989101638,0.5856570941727288
HOMOSER-METSYN-PWY,73940.2917428984,0.19499475168741062
HSERMETANA-PWY,175589.38479273458,0.46306293469410026
ILEUSYN-PWY,309717.83924728626,0.8167854323212952
KDO-NAGLIPASYN-PWY,9806.083200130453,0.025860524939288976
KETOGLUCONMET-PWY,5732.887779532127,0.01511872624074445
LACTOSECAT-PWY,867.5940525792186,0.0022880121630627403
LEU-DEG2-PWY,92577.07300118216,0.24414352359580205
LIPASYN-PWY,606.951574740768,0.0016006478851123289
LPSSYN-PWY,743.1186713448469,0.0019597466736677336
MET-SAM-PWY,107760.9737071049,0.28418638626251685
METH-ACETATE-PWY,46263.70520864621,0.12200627691147804
METHANOGENESIS-PWY,7053.598608589098,0.018601694377498833
METHGLYUT-PWY,2296.165898841704,0.006055430520001179
METHYLGALLATE-DEGRADATION-PWY,10668.146226249899,0.028133950723184455
NAD-BIOSYNTHESIS-II,21724.12844200626,0.057290699445763024
NADSYN-PWY,13594.33274797557,0.035850866639326316
NAGLIPASYN-PWY,172803.76495461055,0.4557167201224937
NONMEVIPP-PWY,216590.51334025734,0.5711907861208656
NONOXIPENT-PWY,309350.49516230123,0.8158166754101841
OANTIGEN-PWY,198009.763478398,0.522189779767288
ORNARGDEG-PWY,3665.831836239914,0.009667502680689131
ORNDEG-PWY,4805.645798656163,0.012673411033661605
P101-PWY,12317.394117095115,0.03248333419687404
P105-PWY,168402.71524182142,0.4441103066815879
P108-PWY,186625.6961324607,0.49216780753822914
P122-PWY,32039.95960247903,0.08449552766824349
P124-PWY,42669.76327244096,0.11252836170570495
P125-PWY,13000.125724264624,0.0342838285832375
P161-PWY,100058.50811788013,0.2638735050235006
P162-PWY,20380.671317470875,0.053747744958751266
P163-PWY,10822.413773766313,0.028540783877508302
P164-PWY,81977.40046458623,0.21619015114457824
P184-PWY,9185.957083354875,0.024225133256280833
P221-PWY,33880.956156610424,0.08935058919786895
P23-PWY,186821.15273142688,0.49268326413276886
P241-PWY,7230.464454522458,0.019068123585401865
P261-PWY,2221.609612576327,0.005858811272438513
P281-PWY,12835.872305323108,0.03385066076789161
P341-PWY,7588.26360157453,0.02001170866180356
P381-PWY,18278.165863283575,0.048203034229366636
P4-PWY,136167.08179485894,0.3590987495006473
P42-PWY,257319.16683187743,0.678600068488538
P441-PWY,32974.53654182287,0.08696018656969602
P461-PWY,12462.776858686992,0.03286673641139216
P562-PWY,11038.410204983902,0.029110407954961125
P621-PWY,1399.1353458743042,0.0036897886512875814
PANTO-PWY,208509.87112438906,0.5498805804776835
PANTOSYN-PWY,208190.5429577142,0.5490384507659958
PENTOSE-P-PWY,140805.29087195446,0.3713305977385115
PEPTIDOGLYCANSYN-PWY,241753.54042609571,0.6375505218298866
PHOSLIPSYN-PWY,276886.19020339474,0.7302020675293011
POLYAMINSYN3-PWY,39559.253609791296,0.10432535026238159
POLYAMSYN-PWY,47089.32134553702,0.1241835852478034
